username, created_at, lng, lat, text
pagy_colleen, Fri Apr 24 01:06:08 +0000 2020, -75.117998, 40.004866, @luscas @jvctp @eduardamllm  to falando 
ARmaxs, Fri Apr 24 01:06:08 +0000 2020, -82.095304, 33.526322, YES THANK GOD 
eklund_shawn, Fri Apr 24 01:06:08 +0000 2020, -93.361321, 46.441861, @JoeBiden https://t.co/pj48aqoP2R 
SHOCK_BigLee, Fri Apr 24 01:06:08 +0000 2020, -85.768241, 37.822244, @NickGroff_ @JohnELTenney @reallychannel Hahahahahaha!!!! 
ChadSimmons_, Fri Apr 24 01:06:08 +0000 2020, -83.173867, 32.678207, Isaiah Simmons... just read the last name bro. 
mademan_12, Fri Apr 24 01:06:08 +0000 2020, -78.657837, 35.843981, 3 QBS already 
ColtsWish, Fri Apr 24 01:06:08 +0000 2020, -100.000000, 31.000000, I am loving these Texas nights! 2 of us ran...1 of us rode the SxS.  Love my girls. And wow I need to fix these cra… https://t.co/662y0hpcZD 
Murillo87J, Fri Apr 24 01:06:08 +0000 2020, -80.233328, 25.782353, #SocialDistancing https://t.co/Ya3YKDw3mP 
KellieMeyerNews, Fri Apr 24 01:06:08 +0000 2020, -77.014398, 38.898603, Where’s the data? 
HowardBoyJeremy, Fri Apr 24 01:06:08 +0000 2020, -88.161555, 30.683649, 😢 
HakiimMusic, Fri Apr 24 01:06:08 +0000 2020, -90.331882, 38.664710, @jecashsymbol2x you have to go to your airport 
MattfromKC, Fri Apr 24 01:06:08 +0000 2020, -94.559281, 39.100048, @pfac51 Be jealous of that powercat 
MMUSportGodz_OT, Fri Apr 24 01:06:08 +0000 2020, -79.913521, 43.260695, @adog5285 He’s absolutely no way that he’s another Ereck Flowers. 
MNRiverOtter, Fri Apr 24 01:06:08 +0000 2020, -93.262046, 44.970610, Crying Over Dick ft. Lady Gaga 
ryantdalton1, Fri Apr 24 01:06:08 +0000 2020, -122.085776, 37.641271, @TKN951 Us 
Ashley_NYC24, Fri Apr 24 01:06:08 +0000 2020, -95.446486, 29.838495, cutie 🍊 https://t.co/YblYV5wrXm 
groovesplat, Fri Apr 24 01:06:09 +0000 2020, -76.955799, 38.960842, @FloraEGill If they wanted professionalism, maybe they shouldn’t use an app named after the creators of Ubbi Dubbi. 
heavensent703, Fri Apr 24 01:06:09 +0000 2020, -77.310919, 38.685223, Sometimes I miss my toxic relationship 😔 
NelsterSae, Fri Apr 24 01:06:09 +0000 2020, -98.662419, 29.696557, @Obsassenach222 Awww such a cutie!! 
superkid801, Fri Apr 24 01:06:08 +0000 2020, -83.804475, 27.698682, @BreathoftheWol2 https://t.co/pu9e8YtSGw 
ACPressHuba, Fri Apr 24 01:06:09 +0000 2020, -74.648727, 39.447494, This is not fun. I want trades. #NFLDraft #nfltwitter 
YouKnowiStayFly, Fri Apr 24 01:06:09 +0000 2020, -81.617924, 41.314173, @TyGore_ fam you still need that yard hit 
Ryan__Benner, Fri Apr 24 01:06:09 +0000 2020, -86.680738, 32.576227, @gmfwilly @hellofromhoth Hi 
harvthegoat, Fri Apr 24 01:06:09 +0000 2020, -121.833730, 39.747037, I like Herbert!!!! 
JeremyNegrey, Fri Apr 24 01:06:09 +0000 2020, -81.550398, 41.474967, @JaneBozarth @KristenLearning @MMTorrance I am a big fan of and have met @MMTorrance before, though I’m sure she do… https://t.co/eSsKkXjY0C 
G2001Jeri, Fri Apr 24 01:06:09 +0000 2020, -86.441236, 39.766555, $jerigalyen 
stickygrippy, Fri Apr 24 01:06:09 +0000 2020, -79.857363, 36.090397, When he take it out, eat it &amp; stick it back in again &gt;&gt;&gt;&gt; 
Munggg89, Fri Apr 24 01:06:09 +0000 2020, -81.504908, 31.214489, Man listen them good folks done pissed me tfff off🤬🙄 
EDIVEG64, Fri Apr 24 01:06:09 +0000 2020, -73.679959, 41.413470, @mattpinfield @YouTube So then, when it comes to politics - your lips are sealed 🤫 
tas0417, Fri Apr 24 01:06:09 +0000 2020, -78.837021, 35.756189, @lindsay_rhodes Simmons 
DocMcConks, Fri Apr 24 01:06:09 +0000 2020, -123.206851, 49.360748, @PodSaveAmerica @zachbraff OH SAY CAN YOU SEEEE!  WITH THE LIGHT INSIDE THE BODY! 
Ron_Christian55, Fri Apr 24 01:06:09 +0000 2020, -83.804475, 27.698682, Tornado Warning ⚠️ in my Area. https://t.co/q5MTUIoTC2 
Charlot31041072, Fri Apr 24 01:06:09 +0000 2020, -79.774039, 44.717253, @goldbearex @RaphaelPepper @tc1242000 @djuba52 @SIDDYDOG417 @JakeandJack1 @3phibotticelli @HeavyMetalCorgi… https://t.co/v3L9OPG42W 
alfailichawi, Fri Apr 24 01:06:09 +0000 2020, -93.361321, 46.441861, @intawshku اهم شي تضحك 
evelynbohnn, Fri Apr 24 01:06:09 +0000 2020, -114.143262, 45.494552, This was so dope 
Skull21rBrian, Fri Apr 24 01:06:09 +0000 2020, -112.124676, 33.552863, @MarcasG Lol was thinking the same thing. Did they forget how Joey fared in the NFL? 
yoitsjase, Fri Apr 24 01:06:09 +0000 2020, -117.104989, 32.810012, Eh idk 
TroubleDVJ, Fri Apr 24 01:06:09 +0000 2020, -83.173867, 32.678207, Back on First Shift, Eating Clean, Dumbell Work Outs, #DDPY Bed Flex for only over a Week But Feel Better than I ha… https://t.co/L6Dy0uZ5tM 
chriskoens, Fri Apr 24 01:06:09 +0000 2020, -85.658700, 42.963200, THREE.Just Three.$3 can help AMA provide food for a family - for a day.If your favorite Starbucks is closed, li… https://t.co/BQTOs3qsYp 
Rema92874078, Fri Apr 24 01:06:09 +0000 2020, -79.272570, 43.629311, Aaaaaand here's a video with its partner☺️🕊️🤍 https://t.co/E5y8T9YBQQ 
76keens, Fri Apr 24 01:06:09 +0000 2020, -91.492666, 45.103988, @JoshBraaten Set it on a tee for you! :) 
FKNTORO, Fri Apr 24 01:06:09 +0000 2020, -80.926628, 33.631140, Simmons 
CJMordock, Fri Apr 24 01:06:09 +0000 2020, -90.011008, 29.982601, @jack70123 Dan Fouts 
bull77ock, Fri Apr 24 01:06:09 +0000 2020, -79.414848, 34.306287, @NYPost_Schwartz People can be dumb. Of course he’s at risk. Haters going to hate. 
raincoaster, Fri Apr 24 01:06:09 +0000 2020, -75.800141, 45.248791, @pro_goal_ @NGoidie @canadianglen @wapimaskwa69 @RJennromao @haselcheck @AnovaFuture @Ont_AndreMarin @OntarioUnited… https://t.co/O1c30wYHO6 
devgru1980mi, Fri Apr 24 01:06:09 +0000 2020, -82.916217, 42.672327, @carland27488094 I’ll try and thanks 
KamenLovesYou, Fri Apr 24 01:06:10 +0000 2020, -100.076888, 31.168893, I said im the word fuck 
cydruc, Fri Apr 24 01:06:10 +0000 2020, -120.882482, 47.273022, @DeAnna4Congress @terry50_terry What tangled webs we weave... 
Colman44, Fri Apr 24 01:06:10 +0000 2020, -83.173867, 32.678207, @tnracefan72 Titans? 🙏 
SutonaKage, Fri Apr 24 01:06:10 +0000 2020, -87.967292, 43.056722, @MrBrooks326 @YT_Twitch_Promo @SupStreamersRT @SupStreamers @BlazedRTs I subbed back bro 
Papi__of_2, Fri Apr 24 01:06:10 +0000 2020, -115.135165, 36.060964, Simmons was literally right there smh just like Derwin was wtf ! 
elizabethsarce7, Fri Apr 24 01:06:10 +0000 2020, -74.196525, 40.662479, JAJAJAJAJA ja 
tcgoldrush, Fri Apr 24 01:06:10 +0000 2020, -95.446486, 29.838495, @MJ4Sports I am not a big fan of his. If you can't get the ball out quick in NFL, you're toast. 
ChrisDaGemini, Fri Apr 24 01:06:10 +0000 2020, -80.846785, 35.209059, I’ll prefer Simmons , I’ll be happy if the #Panthers pick Brown tho  ⚫️🔵🙌🏾 
KSeale68, Fri Apr 24 01:06:10 +0000 2020, -97.285913, 32.779967, @FHLadyPanthers @FHMLadyPanthers 
jakemute, Fri Apr 24 01:06:10 +0000 2020, -105.550890, 38.997936, Raiders I will cry if you don’t draft CeeDee Lamb 
ItsPdaddy, Fri Apr 24 01:06:10 +0000 2020, -97.552161, 35.482844, If my man wants to go to the strip club that’s fine. But imma be there. https://t.co/7nuyLidfjf 
jeffparr3000, Fri Apr 24 01:06:10 +0000 2020, -96.761753, 32.819858, @HeimBBQ your right ,I never saw him take over a game of importance 
PowerPhma, Fri Apr 24 01:06:10 +0000 2020, -75.165100, 39.952700, kurtcobain nirvanarawr tribute this weekend!!! ❤ @ Philadelphia, Pennsylvania https://t.co/8lttIRP5vW 
JarrellFMG, Fri Apr 24 01:06:10 +0000 2020, -98.540651, 29.417501, @116_Ascii @OnBeatMusic Same here lol 
ItsSurree, Fri Apr 24 01:06:10 +0000 2020, -96.856440, 32.543143, YESSIR‼️ Pull up this Sunday! #HavenMen 
MrPoppaWillie, Fri Apr 24 01:06:10 +0000 2020, -112.124676, 33.552863, I’m done. 
TheRealHarjotB, Fri Apr 24 01:06:10 +0000 2020, -88.009557, 42.894304, The salon gave me a card for a "Balayage" after I got my highlights. That shit was hella expensive and idk if I'm… https://t.co/Jc1huktsxe 
MarcotteDebora1, Fri Apr 24 01:06:10 +0000 2020, -102.985918, 49.139437, jesus - I can’t even..... 
Blairboymom, Fri Apr 24 01:06:10 +0000 2020, -100.076888, 31.168893, First cilantro harvest and a little “Stairway to Heaven” in the garden this evening. #StayingHome @JimBlair17 https://t.co/yht7a7Qkqc 
NicoAmatullo, Fri Apr 24 01:06:10 +0000 2020, -73.968542, 40.780709, WELCOME TO LOS ANGELES JUSTIN of @oregonfootball #NFLDraft2020 https://t.co/flpsI84DP2 
Zsavooz, Fri Apr 24 01:06:10 +0000 2020, -82.746851, 28.085864, @ClassicFilms @booksandescape @tcm Funny how Kirk felt he chose the wrong part. 
ironivannn, Fri Apr 24 01:06:10 +0000 2020, -97.482100, 31.077449, Could use a beer right now 
OHMissHipHop, Fri Apr 24 01:06:10 +0000 2020, -96.761753, 32.819858, @kendracanyou 😊👏🏽 https://t.co/MwfEgo0RFk 
KJayy_, Fri Apr 24 01:06:10 +0000 2020, -79.420865, 38.003376, Yall go look at this lmao 
NickMendoza, Fri Apr 24 01:06:10 +0000 2020, -73.977717, 40.705597, This is absolute love for healthcare workers in NYC. THANK YOU to all who fight for us every day. We’re in this TOG… https://t.co/cWgkCWWT81 
Cole_Hinnant, Fri Apr 24 01:06:10 +0000 2020, -78.657837, 35.843981, @Panthers Please pick @isaiahsimmons25 
bdorffer, Fri Apr 24 01:06:10 +0000 2020, -119.306608, 37.269176, @jimmylieb3gmai1 @NotATweeter16 @gregolear @jwgop https://t.co/t2KcQ9oUTd 
EliGaines19, Fri Apr 24 01:06:10 +0000 2020, -75.153194, 39.839506, can’t stand inconsistency 
BeverlyHenry2, Fri Apr 24 01:06:11 +0000 2020, -87.010551, 34.580925, Watching NFL Draft 2020 🏈#NFLDraft #NFLDraft2020 
yelinoh, Fri Apr 24 01:06:11 +0000 2020, -122.840863, 45.541063, Chargers!!! I am stoked 
byrnes_lori, Fri Apr 24 01:06:11 +0000 2020, -83.804475, 27.698682, @artkincell @CheriJacobus No, he really is crazy. Read A Warning by Anonymous. Talks about his mental instability,p… https://t.co/HPlG5UXswc 
CampJefferson, Fri Apr 24 01:06:11 +0000 2020, -85.996819, 39.870397, https://t.co/z7djj78GmI 
JessieStarnesXO, Fri Apr 24 01:06:11 +0000 2020, -100.076888, 31.168893, @B_txylor you &amp; me both 😭 
e_m_d22, Fri Apr 24 01:06:11 +0000 2020, -121.873730, 37.331159, A fucking commercial????? 
itsabbsterr, Fri Apr 24 01:06:11 +0000 2020, -95.824553, 29.783996, my favorite men ❤️ #GoRockets 
_CallmeShelly_, Fri Apr 24 01:06:11 +0000 2020, -116.989920, 33.729378, @TheUpsi03119986 @MaineAlessandra @davidmweissman Ah yes, smart people will vote for a man who suggested injecting… https://t.co/QQB4awkWJw 
cavepersonriff, Fri Apr 24 01:06:11 +0000 2020, -73.723025, 45.557830, @soitgose Get well Mac!! 
MorenosLiquors, Fri Apr 24 01:06:11 +0000 2020, -87.732013, 41.833585, Full clip on FB or InstaMike Moreno guides us threw the process off picking one of our #singlebarrel Tequilas!… https://t.co/nGZPmKEwUK 
Bobby_Bitch319, Fri Apr 24 01:06:11 +0000 2020, -78.871178, 42.965903, Pressureee😤 25$ 8ths📲🔥 
allonkessel, Fri Apr 24 01:06:11 +0000 2020, -112.124676, 33.552863, @KrisZellner That bad? 
mzdisonn, Fri Apr 24 01:06:11 +0000 2020, -100.076888, 31.168893, oh yes, here is my self appreciation post😌✨ hope everyone is doin fine! https://t.co/IIZ9wtHy4V 
yyzsportsmedia, Fri Apr 24 01:06:11 +0000 2020, -122.232754, 47.565392, Derrick Brown... 
StefRandolph, Fri Apr 24 01:06:11 +0000 2020, -122.923516, 47.064528, A1: I think I first saw @keithmo and @BarbChamberlain at #BikeSchool and decided to check it out. It’s introduced m… https://t.co/1l14bugjP2 
DanteCollinelli, Fri Apr 24 01:06:11 +0000 2020, -77.604684, 41.117936, @CCSDanKieffer We made it 👊🏻 
aj_aliya, Fri Apr 24 01:06:11 +0000 2020, -96.761753, 32.819858, It’s cute seeing all of these men spoil their girlfriends 🥺 
_beefcheeks, Fri Apr 24 01:06:11 +0000 2020, -79.272570, 43.629311, Sean Bean or Shaun Baun? 
CCrockss12, Fri Apr 24 01:06:11 +0000 2020, -97.754724, 30.323346, I need scrubs that are long enough for my legs. Like I’m tired of this. Fr. 😭 
callmehawkeye, Fri Apr 24 01:06:11 +0000 2020, -79.467812, 36.078021, Do not. I repeat, DO NOT inject Lysol™️ into your lungs. That is all. 
KitHughesBG, Fri Apr 24 01:06:11 +0000 2020, -83.645809, 41.387090, 😳 This would have been too scary. @Rich_Holmes22 would be a 2-way superstar. Devastating edge rusher &amp; lethal red z… https://t.co/HclkkQr6hL 
ShayleeButler, Fri Apr 24 01:06:11 +0000 2020, -96.761753, 32.819858, @JordanPryor48 The frat boy good lord 
J_CHUE, Fri Apr 24 01:06:11 +0000 2020, -83.207858, 42.261950, Carolina gotta take Simmons to replace Keuchly 
xtierrv, Fri Apr 24 01:06:11 +0000 2020, -81.520478, 41.588460, wow🥺💕💕💕 
LopezMSW, Fri Apr 24 01:06:11 +0000 2020, -73.968542, 40.780709, @marializardo Yassss 👏🏾👏🏾👏🏾👏🏾👏🏾😍 
Logando_5, Fri Apr 24 01:06:12 +0000 2020, -83.173867, 32.678207, @alex_pacin "Those who do not heed history are doomed to repeat it" 
jlschuster827, Fri Apr 24 01:06:12 +0000 2020, -76.603688, 38.951964, Could she just ask if he’s out of his effing mind? @realDonaldTrump 
BigWillie7179, Fri Apr 24 01:06:12 +0000 2020, -84.280194, 34.073344, Stood beside #JustinHerbert at @seniorbowl Dude big as a hell for a QB! #NFLDraft 
ImJoshDunham, Fri Apr 24 01:06:12 +0000 2020, -77.477105, 39.031160, @FiftyGutBlog Hahahaha. No one and nothing is spared on video look-ins. 
gcerisee, Fri Apr 24 01:06:12 +0000 2020, -97.326981, 27.879162, Just became a bengals fan 
IliyahK, Fri Apr 24 01:06:12 +0000 2020, -85.026365, 32.438372, 🤣🤣 
chell_gan_duh, Fri Apr 24 01:06:12 +0000 2020, -117.924892, 33.889347, 04/23/2020. Coach Chong and Coach Jason just dropped a care package for Marilyn this afternoon. Long live OHANA TEA… https://t.co/JLcmVYjLIa 
Corinthian_B, Fri Apr 24 01:06:12 +0000 2020, -87.732013, 41.833585, Update Im on Season 10 of Law and Order SVU. @Mariska 
hruben_11, Fri Apr 24 01:06:12 +0000 2020, -95.446486, 29.838495, @ggaaaaaaabbbyyy https://t.co/6i2DMavV5u 
TeddyMakwa, Fri Apr 24 01:06:12 +0000 2020, -79.387200, 43.648000, Choose wisely. Lol. @ Toronto, Ontario https://t.co/Rxpv5koLAa 
snowqueenoftx, Fri Apr 24 01:06:12 +0000 2020, -118.411907, 34.020789, pissing off people who have wronged me is my favorite hobby 
bombassjass, Fri Apr 24 01:06:12 +0000 2020, -95.446486, 29.838495, I-...... 
arantzaessu, Fri Apr 24 01:06:12 +0000 2020, -100.293591, 25.641718, Postals from The Getty https://t.co/HcYE6iUfZl 
clemen68, Fri Apr 24 01:06:12 +0000 2020, -109.841790, 27.713653, @juanandresbg Asi pasa... 
AlanAldava, Fri Apr 24 01:06:12 +0000 2020, -97.386145, 32.567745, #blessed #EssentialWorkers 
lhtetrick, Fri Apr 24 01:06:12 +0000 2020, -100.076888, 31.168893, @MisterTHistory @qblacklock @Stef_Pellerin @Karithna @beerdazed @JonMontag @TammyJaben @suyapacruz @cedarflats… https://t.co/05Nw9oGdOz 
PinckneyJJ, Fri Apr 24 01:06:12 +0000 2020, -73.948775, 40.655138, They’re about to save the world on my god 😭 
dianesbaker1, Fri Apr 24 01:06:12 +0000 2020, -123.123581, 49.257639, Sexual perversion backdrop. 
kknehans50, Fri Apr 24 01:06:12 +0000 2020, -90.734961, 38.752945, @Kierkegaard30 Tua is a bust 
kxmisxrpong24, Fri Apr 24 01:06:13 +0000 2020, -83.996909, 33.854514, This Is The Most Predictiable Draft Ever 😂😂😂😂 
ThomasMcSwain1, Fri Apr 24 01:06:13 +0000 2020, -81.536125, 35.292191, @UnitedHayze @Vinny I have been trying to find it to watch it 👍👍 
EmbraceMeHere, Fri Apr 24 01:06:13 +0000 2020, -83.173867, 32.678207, Booking the flight rn. Fuck Covid 
Dianatron, Fri Apr 24 01:06:13 +0000 2020, -73.968542, 40.780709, @tutortillina big fish 
Contractor1Quan, Fri Apr 24 01:06:13 +0000 2020, -87.967292, 43.056722, Naw; all this down; and nobody but Bae; get the real functions, as; whence ways raw; cocoon you think; it’s the sam… https://t.co/ulAZ5GpRcg 
biogirl09, Fri Apr 24 01:06:13 +0000 2020, -98.540651, 29.417501, @Johnnaaaaaaaaaa Yay @Johnnaaaaaaaaaa! I'm so happy for you! 
chongjuhigh, Fri Apr 24 01:06:13 +0000 2020, -118.411907, 34.020789, 검찰은 김 전 장관의 지시를 받은 환경부 운영지원과에서이런 ‘블랙리스트’를 만들고 임원들을 직접 만나 스스로 자리에서 물러나도록 권유하거나,거부하면 특별 감사를 벌이려고 한 것으로 보고 있다. (김명진) 
AlaynieRose, Fri Apr 24 01:06:13 +0000 2020, -90.890053, 30.230047, @KennaMarie99 
kinucakes, Fri Apr 24 01:06:13 +0000 2020, -118.411907, 34.020789, I’ve never been a fan of FaceID but it’s become particularly useless now that we have to wear masks everywhere 😩 
naydamontana, Fri Apr 24 01:06:13 +0000 2020, -97.114771, 33.202495, https://t.co/uaiidx3hCf 
iamdjones215, Fri Apr 24 01:06:13 +0000 2020, -75.117998, 40.004866, @DGarnett_ Ooopps 🤣🤣🤣🤣 https://t.co/BSxKrOzyLW 
CMTubbs, Fri Apr 24 01:06:13 +0000 2020, -93.361321, 46.441861, @MatthewColler @alstrain Price goes down every year. Low risk high reward. 
evansinco, Fri Apr 24 01:06:13 +0000 2020, -106.362797, 39.624827, @PagesNewShirt Yep 
heartlessronin, Fri Apr 24 01:06:13 +0000 2020, -87.665193, 41.558940, Me explaining myself at the next RSM summit 😊😊😊 https://t.co/LWRAWqlsPs 
kieaundriaa_xo, Fri Apr 24 01:06:13 +0000 2020, -73.052881, 41.487861, I am so happy I discovered my love for Ari Lennox 
jfouts, Fri Apr 24 01:06:13 +0000 2020, -121.873730, 37.331159, Please make it stop before someone follows his random ideas and kills themselves. #takeTrumpofftheair 
Grillman73, Fri Apr 24 01:06:13 +0000 2020, -119.034349, 34.225328, @BrownEyesBliss Happy Birthday 🎂🎁🎊🎉🎈 
Zach_Stratton29, Fri Apr 24 01:06:13 +0000 2020, -89.922029, 35.133521, Derrick Brown to the Panthers at 7#NFLDraft 
MagBoyleWright, Fri Apr 24 01:06:13 +0000 2020, -112.124676, 33.552863, @jdwickie Wouldn’t cha think?! 
David_Keychain, Fri Apr 24 01:06:13 +0000 2020, -123.022450, 45.005514, @HadrianIsMyBoy Sorry I just meant that for my followers :( 
MikeDrewWhat, Fri Apr 24 01:06:13 +0000 2020, -93.105649, 44.941516, @KyleAMathews Gotcha. Yeah, I’d really view it as a tragedy, but also I suppose stuff happens... 
Jordan_CW_, Fri Apr 24 01:06:13 +0000 2020, -73.022108, 41.566578, My guy herbert is gonna do big things in LA 
jstn825, Fri Apr 24 01:06:13 +0000 2020, -78.748399, 42.907207, i love both these men so fucking bro i’m so happy rn 
TeamLewisBBall, Fri Apr 24 01:06:13 +0000 2020, -121.545383, 38.559987, @AliVelshi @NBCNews Nothing Should Have Us Surprised By Now. He's A 🤡 
72TraThomas, Fri Apr 24 01:06:13 +0000 2020, -74.724323, 40.073041, Man!  Everybody else vs the Tua Clique https://t.co/eFvAdldMSh 
hvargas215, Fri Apr 24 01:06:13 +0000 2020, -95.446486, 29.838495, @ChelseyABC13 Don’t you just hate it when you organize your spices and you find out that you have 2 or more of the… https://t.co/aZCPAS1mAw 
GarethWheeler, Fri Apr 24 01:06:13 +0000 2020, -79.272570, 43.629311, Herbert is already better than Rivers. That’s a win for the Chargers. #NFLDraft 
RivalsDave, Fri Apr 24 01:06:14 +0000 2020, -85.722346, 38.195555, MJD is off to a rough start but I expect him to start dominating after the 8th pick. 
joleyshae, Fri Apr 24 01:06:14 +0000 2020, -82.669467, 40.365160, @willisalaynaa you already know🤍 
codykeene1, Fri Apr 24 01:06:14 +0000 2020, -82.194535, 41.443541, I just want the @Browns to take Simmons 😩 
_WhyToby, Fri Apr 24 01:06:14 +0000 2020, -83.956121, 33.889423, Chargers just damned their franchise for the next decade . Yikes 
